WORKSHEET,CATEGORY,SUBCATEGORY,DATA_TYPE,96_FIELD_NAME,10_FIELD_NAME,FIELD DESCRIPTION ,WKSHT CD,LINE,COLUMN
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,not on old form,S3_1_C8_17,IRF,S300001,01700,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,,,,,,,
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,S3_1_C6_14,S3_1_C8_18,Subprovider 1,S300001,01800,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,S3_1_C6_1401,S3_1_C8_1801,Subprovider 2,S300001,01801,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,,,,,,,
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,S3_1_C6_15,S3_1_C8_19,SNF,S300001,01900,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,S3_1_C6_16,S3_1_C8_20,NF,S300001,02000,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,S3_1_C6_1601,S3_1_C8_2001,ICF,S300001,02001,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,S3_1_C6_17,S3_1_C8_21,OLTC,S300001,02100,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,S3_1_C6_18,S3_1_C8_22,HHA,S300001,02200,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,S3_1_C6_21,S3_1_C8_24,Hospice,S300001,02400,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,S3_1_C6_23,S3_1_C8_25,Outpatient Rehab Provider,S300001,02500,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,S3_1_C6_24,S3_1_C8_26,RHC/FQHC Combined,S300001,02600,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,,,,,,,
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,S3_1_C6_26,S3_1_C8_28,Medicaid Observation Days,S300001,02800,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C8_30,,S300001,03000,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C8_31,,S300001,03100,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,S3_1_C6_29,S3_1_C8_32,Labor and Delivery Days -  Title XIX,S300001,03200,00800
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,,,,,,,
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_14,Total Hospital Interns & Residents,S300001,01400,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_16,,S300001,01600,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_17,,S300001,01700,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC, ,S3_1_C9_18,Total Subprovider I Interns & Residents,S300001,01800,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_1801,Total Subprovider II Interns & Residents,S300001,01801,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_19,SNF,S300001,01900,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_20,NF,S300001,02000,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_2001,ICF,S300001,02001,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_21,OLTC,S300001,02100,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C9_22,HHA,S300001,02200,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_23,,S300001,02300,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C9_24,Hospice,S300001,02400,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C9_25,Outpatient Rehab Provider,S300001,02500,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C9_26,RHC/FQHC Combined,S300001,02600,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C9_27,Total Facility FTEs ,S300001,02700,00900
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_14,Total Hospital Interns & Residents,S300001,01400,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_16,,S300001,01600,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_17,,S300001,01700,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC, ,S3_1_C10_18,Total Subprovider I Interns & Residents,S300001,01800,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_1801,Total Subprovider II Interns & Residents,S300001,01801,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_19,SNF,S300001,01900,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_20,NF,S300001,02000,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_2001,ICF,S300001,02001,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_21,OLTC,S300001,02100,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C10_22,HHA,S300001,02200,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_23,,S300001,02300,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C10_24,Hospice,S300001,02400,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C10_25,Outpatient Rehab Provider,S300001,02500,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C10_26,RHC/FQHC Combined,S300001,02600,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C10_27,Total Facility FTEs ,S300001,02700,01000
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_14,Total Hospital Interns & Residents,S300001,01400,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_16,,S300001,01600,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_17,,S300001,01700,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC, ,S3_1_C11_18,Total Subprovider I Interns & Residents,S300001,01800,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_1801,Total Subprovider II Interns & Residents,S300001,01801,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_19,SNF,S300001,01900,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_20,NF,S300001,02000,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_2001,ICF,S300001,02001,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_21,OLTC,S300001,02100,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C11_22,HHA,S300001,02200,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_23,,S300001,02300,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C11_24,Hospice,S300001,02400,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C11_25,Outpatient Rehab Provider,S300001,02500,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,ROLLUP,,S3_1_C11_26,RHC/FQHC Combined,S300001,02600,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C11_27,Total Facility FTEs ,S300001,02700,01100
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C12_1,Title V discharges,S300001,00100,01200
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C12_14,Title V discharges,S300001,01400,01200
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C12_16,Title V discharges,S300001,01600,01200
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C12_17,Title V discharges,S300001,01700,01200
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC, ,S3_1_C12_18,Title V discharges,S300001,01800,01200
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C12_1801,,S300001,01801,01200
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C13_1,Title XVIII discharges,S300001,00100,01300
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C13_2,Title XVIII discharges,S300001,00200,01300
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C13_14,Title XVIII discharges,S300001,01400,01300
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C13_16,Title XVIII discharges,S300001,01600,01300
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C13_17,Title XVIII discharges,S300001,01700,01300
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC, ,S3_1_C13_18,Title XVIII discharges,S300001,01800,01300
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C13_1801,,S300001,01801,01300
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C14_1,Title XIX discharges,S300001,00100,01400
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C14_14,Title XIX discharges,S300001,01400,01400
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C14_16,Title XIX discharges,S300001,01600,01400
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C14_17,Title XIX discharges,S300001,01700,01400
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC, ,S3_1_C14_18,Title XIX discharges,S300001,01800,01400
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C14_1801,,S300001,01801,01400
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C15_1,Total discharges,S300001,00100,01500
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C15_14,Total discharges,S300001,01400,01500
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C15_16,Total discharges,S300001,01600,01500
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C15_17,Total discharges,S300001,01700,01500
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC, ,S3_1_C15_18,Total discharges,S300001,01800,01500
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C15_1801,,S300001,01801,01500
UTILIZATION DATA WORKSHEET S-3 PART I,Total Inpatient Days/Outpatient Visits,,NUMERIC,,S3_1_C15_21,Total discharges,S300001,02100,01500
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_1 ,S3_2_C2_1 ,Total Salaries,S300002,00100,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_2,S3_2_C2_2 ,Non-Physician Anesthetist Part A,S300002,00200,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_3,S3_2_C2_3,Non-Physician Anesthetist Part B,S300002,00300,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_4,S3_2_C2_4,Physician-Part A,S300002,00400,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_5,S3_2_C2_5 ,Physician-Part B,S300002,00500,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_501,S3_2_C2_6,Non-Physician Part B,S300002,00600,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_6,S3_2_C2_7,Interns & Residents,S300002,00700,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_7,S3_2_C2_8,Home Office Personnel,S300002,00800,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_8,S3_2_C2_9 ,SNF,S300002,00900,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_801,S3_2_C2_10,Excluded Area Salaries,S300002,01000,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_9,S3_2_C2_11,Contract Labor,S300002,01100,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_903,S3_2_C2_12,Management and Administrative Services,S300002,01200,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_10,S3_2_C2_13,Contract Labor: Pysician Part A,S300002,01300,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_11,S3_2_C2_14 ,Home Office Salaries & Wage Related Csts,S300002,01400,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_11,S3_2_C2_1401,Home Office Salaries,S300002,01401,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_11,S3_2_C2_1402,Related  Salaries ,S300002,01402,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_12,S3_2_C2_15,Home Office:  Physician Part A,S300002,01500,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_1201,S3_2_C2_16,Teaching Physician Salaries,S300002,01600,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_13,S3_2_C2_17 ,Wage Related Costs Core,S300002,01700,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_14,S3_2_C2_18 ,Wage Related Costs Other,S300002,01800,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_15,S3_2_C2_19,Excluded Areas ,S300002,01900,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_16,S3_2_C2_20,Non-Physician Anesthetist Part A,S300002,02000,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_17,S3_2_C2_21,Non-Physician Anesthetist Part B,S300002,02100,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_18,S3_2_C2_22 ,Physician Part A,S300002,02200,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C2_2201,Physician Part A,S300002,02201,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_19,S3_2_C2_23,Physician Part B,S300002,02300,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_1901,S3_2_C2_24 ,Wage Related Costs RHC/FQHC,S300002,02400,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_20,S3_2_C2_25 ,Interns & Residents,S300002,02500,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C2_2550,Interns & Residents,S300002,02550,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C2_2551,Interns & Residents,S300002,02551,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C2_2552,Interns & Residents,S300002,02552,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C2_2553,Interns & Residents,S300002,02553,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_21,S3_2_C2_26 ,Employee Benefits,S300002,02600,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_22,S3_2_C2_27 ,Administrative and General,S300002,02700,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_2201,S3_2_C2_28 ,Administrative & General under contract ,S300002,02800,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_23,S3_2_C2_29,Maintenance and Repairs,S300002,02900,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_24,S3_2_C2_30,Operation of Plant,S300002,03000,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_25,S3_2_C2_31,Laundry and Linen Service,S300002,03100,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_26,S3_2_C2_32,Housekeeping,S300002,03200,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_2601,S3_2_C2_33,Housekeeping under contract  ,S300002,03300,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_27,S3_2_C2_34,Dietary,S300002,03400,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_2701,S3_2_C2_35,Dietary under contract ,S300002,03500,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_28,S3_2_C2_36,Cafeteria,S300002,03600,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_29,S3_2_C2_37,Maintenance of Personnel,S300002,03700,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_30,S3_2_C2_38,Nursing Administration,S300002,03800,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_31,S3_2_C2_39,Central Services and Supply,S300002,03900,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_32,S3_2_C2_40,Pharmacy   ,S300002,04000,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_33,S3_2_C2_41,Medical Records & Med Records Library,S300002,04100,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_34,S3_2_C2_42,Social Service,S300002,04200,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,S3_2_C1_35,S3_2_C2_43,Other General Service,S300002,04300,00200
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_14 ,Home Office Salaries & Wage Related Csts,S300002,01400,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_1401,Home Office Salaries,S300002,01401,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_1402,Related Salaries,S300002,01402,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_22 ,Physician Part A,S300002,02200,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_2201,Physician Part A Teaching,S300002,02201,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_23,Physician Part B,S300002,02300,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_24 ,Wage Related Costs RHC/FQHC,S300002,02400,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_25 ,Interns & Residents,S300002,02500,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_2550,Interns & Residents,S300002,02550,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_2551,Interns & Residents,S300002,02551,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_2552,Interns & Residents,S300002,02552,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,AMOUNT REPORTED,NUMERIC,,S3_2_C3_2553,Interns & Residents,S300002,02553,00300
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,ADJUSTED SALARIES,NUMERIC,S3_2_C3_1 ,S3_2_C4_1 ,Total Salaries,S300002,00100,00400
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,ADJUSTED SALARIES,NUMERIC,S3_2_C3_2,S3_2_C4_2 ,Non-Physician Anesthetist Part A,S300002,00200,00400
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,ADJUSTED SALARIES,NUMERIC,S3_2_C3_3,S3_2_C4_3,Non-Physician Anesthetist Part B,S300002,00300,00400
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,ADJUSTED SALARIES,NUMERIC,S3_2_C3_4,S3_2_C4_4,Physician-Part A,S300002,00400,00400
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,ADJUSTED SALARIES,NUMERIC,S3_2_C3_5,S3_2_C4_5 ,Physician-Part B,S300002,00500,00400
"2552-10 WORKSHEET S-3, PART II",HOSPITAL WAGE INDEX DATA,ADJUSTED SALARIES,NUMERIC,S3_2_C3_501,S3_2_C4_6,Non-Physician Part B,S300002,00600,00400
